"","i1","i2","i3","i4","i5","i6","i7","i8","i9","i10","i11","i12","i13","i14","i15","i16","i17","i18","i19","i20","i21","i22","i23","i24","i25","i26","i27","i28","i29","i30","i31","i32","i33","i34","i35","i36","i37","i38","i39","i40","i41","i42","i43","i44","i45","i46","i47","i48","i49","i50","i51","i52","i53","i54","i55","i56","i57","i58","i59","i60","i61","i62","i63","i64","i65","i66","i67","i68","i69","i70","i71","i72","i73","i74","i75","i76","i77","i78","i79","i80","i81","i82","i83","i84","i85","i86","i87","i88","i89","i90","i91","i92","i93","i94","i95","i96","i97","i98","i99","i100"
"u53",7,NA,6,NA,NA,6,NA,6,NA,7,4,NA,6,7,5,NA,4,NA,5,NA,NA,5,NA,NA,NA,5,7,NA,NA,NA,5,7,NA,4,NA,5,5,3,7,4,NA,6,5,3,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,6,NA,5,5,NA,NA,5,NA,NA,NA,NA,NA,4,6,6,NA,8,NA,5,NA,5,4,NA,NA,NA,5,NA,6,NA,5,NA,NA,5,5,NA,6,NA,5,6,NA,NA,NA,NA,NA,NA,NA
"u54",7,5,NA,4,6,5,6,4,NA,6,NA,4,NA,6,4,4,4,5,NA,6,NA,7,3,5,NA,5,8,NA,6,5,NA,NA,NA,4,4,5,6,NA,8,NA,5,NA,6,4,NA,6,NA,NA,5,NA,7,6,6,5,NA,NA,NA,5,5,NA,NA,3,7,5,NA,5,NA,NA,7,4,NA,NA,5,NA,NA,NA,NA,4,8,NA,5,NA,6,NA,5,6,NA,6,4,NA,NA,6,6,5,NA,7,5,NA,5,7
"u55",3,6,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,5,NA,6,NA,NA,NA,NA,3,5,NA,3,7,5,7,5,NA,5,4,4,NA,4,5,4,5,NA,4,4,6,6,NA,NA,6,7,NA,6,NA,7,NA,NA,5,NA,NA,NA,NA,5,6,NA,NA,NA,5,NA,4,NA,NA,5,6,6,NA,4,NA,NA,NA,NA,NA,5,5,NA,7,4,NA,NA,NA,NA,NA,NA,NA,4,7,5,NA,NA,4,8,NA,6
"u56",NA,NA,5,NA,6,NA,6,NA,NA,NA,NA,5,4,NA,NA,NA,5,NA,NA,NA,NA,5,5,7,6,4,NA,NA,8,6,NA,6,NA,NA,NA,NA,6,7,NA,6,4,NA,7,5,NA,8,NA,NA,6,4,NA,5,NA,6,NA,NA,7,6,NA,NA,6,5,6,6,7,NA,NA,5,8,5,5,NA,5,NA,NA,4,6,4,NA,NA,NA,6,7,NA,NA,4,5,5,5,5,5,5,NA,NA,4,5,6,7,NA,8
"u57",6,NA,8,7,NA,6,5,NA,NA,7,NA,4,7,6,NA,NA,4,NA,6,5,6,5,3,5,6,NA,NA,6,6,4,4,6,5,NA,NA,NA,NA,5,7,NA,NA,NA,7,5,NA,7,NA,6,6,NA,7,NA,7,4,6,NA,NA,NA,NA,5,NA,NA,5,NA,6,NA,NA,NA,NA,NA,7,5,NA,5,6,NA,5,NA,NA,NA,5,NA,8,NA,NA,NA,NA,NA,5,6,6,5,NA,4,NA,6,NA,NA,NA,NA
"u58",6,NA,5,6,NA,5,6,4,6,5,NA,4,5,4,NA,5,NA,NA,5,6,NA,NA,NA,3,NA,5,8,5,6,NA,4,NA,5,NA,5,4,4,NA,NA,NA,3,NA,NA,NA,6,6,NA,NA,NA,4,NA,NA,NA,5,NA,NA,7,NA,NA,4,NA,NA,NA,NA,NA,NA,5,4,NA,NA,6,NA,NA,6,NA,4,7,7,3,5,5,NA,7,NA,5,NA,5,NA,NA,7,NA,NA,6,NA,NA,4,NA,NA,3,NA
"u59",NA,5,NA,NA,7,NA,7,5,4,7,NA,4,NA,5,5,NA,6,7,7,6,5,NA,5,6,NA,NA,6,4,NA,4,5,7,NA,NA,7,6,6,NA,7,NA,NA,6,7,4,6,7,NA,6,NA,NA,NA,4,6,5,NA,4,6,NA,NA,NA,NA,5,NA,NA,6,NA,NA,NA,5,NA,NA,NA,NA,5,NA,4,4,NA,NA,NA,5,NA,NA,NA,NA,4,6,6,5,NA,NA,NA,7,6,5,NA,5,6,6,NA
"u60",7,5,NA,NA,NA,NA,NA,5,6,NA,NA,4,NA,7,NA,NA,4,6,6,NA,5,6,NA,NA,NA,4,NA,5,7,NA,NA,6,NA,NA,NA,4,NA,4,NA,5,NA,5,NA,3,NA,NA,5,6,NA,NA,6,NA,5,6,NA,NA,NA,5,NA,5,NA,6,7,NA,4,5,5,6,8,5,5,NA,6,NA,NA,6,4,4,6,NA,5,NA,7,NA,4,NA,NA,NA,NA,6,4,NA,5,NA,5,NA,6,NA,6,NA
"u61",NA,NA,6,NA,NA,NA,NA,5,5,6,NA,5,5,NA,NA,NA,6,NA,7,NA,NA,6,3,7,NA,NA,8,NA,5,NA,NA,NA,NA,NA,5,4,NA,6,6,4,NA,NA,8,4,NA,7,6,7,4,NA,NA,NA,NA,NA,4,4,5,NA,5,5,NA,NA,NA,5,5,NA,4,6,NA,5,5,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,4,NA,6,NA,5,NA,NA,NA,5,NA,4,NA,6,5,NA,NA,NA
"u62",5,5,7,5,4,NA,6,5,6,NA,NA,3,5,4,NA,4,NA,5,NA,NA,3,7,NA,5,6,NA,NA,6,NA,6,6,NA,NA,4,NA,4,4,6,NA,6,4,NA,NA,4,NA,6,6,7,NA,NA,NA,5,5,6,5,5,5,NA,NA,NA,NA,4,NA,3,6,4,NA,NA,7,4,NA,NA,5,6,NA,3,NA,6,4,NA,5,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,7,6,6,6,NA,6,NA,NA
"u63",5,NA,9,NA,NA,NA,5,NA,6,6,5,5,6,7,NA,4,NA,7,7,4,NA,6,5,4,NA,6,NA,5,5,NA,NA,NA,NA,3,6,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,5,8,NA,NA,5,NA,5,5,5,NA,5,NA,5,7,NA,NA,NA,NA,5,8,3,NA,7,4,6,5,6,NA,NA,NA,7,5,7,7,5,5,4,NA,NA,5,5,6,5,5,7,NA,4,NA,7,NA,7
"u64",NA,5,6,5,6,NA,NA,6,5,5,NA,NA,NA,6,4,5,5,5,NA,6,NA,8,5,NA,6,NA,NA,NA,NA,5,NA,NA,6,NA,NA,NA,5,NA,6,NA,4,NA,NA,3,3,NA,NA,5,5,5,NA,4,4,5,7,NA,5,NA,NA,NA,NA,6,6,5,NA,NA,4,5,NA,NA,NA,NA,4,NA,6,4,NA,NA,6,NA,NA,6,7,5,7,NA,4,6,NA,NA,7,6,NA,NA,NA,NA,5,7,5,9
"u65",7,5,NA,5,NA,NA,NA,NA,6,NA,5,NA,5,7,6,5,NA,NA,7,NA,5,NA,4,NA,5,NA,7,NA,NA,NA,NA,4,5,5,NA,6,NA,4,6,3,NA,NA,7,NA,6,5,NA,NA,NA,NA,7,3,NA,NA,NA,NA,6,4,NA,NA,5,5,NA,NA,NA,3,5,6,7,4,6,NA,5,NA,6,NA,NA,4,NA,5,5,6,NA,NA,6,NA,4,5,5,5,6,NA,6,5,6,NA,5,8,5,8
"u66",NA,NA,7,NA,5,NA,6,7,7,NA,5,NA,5,4,5,NA,NA,NA,NA,NA,NA,6,6,NA,NA,5,NA,6,7,NA,6,NA,6,NA,NA,NA,5,6,5,7,5,4,NA,5,NA,5,5,5,NA,6,NA,NA,NA,5,NA,NA,6,NA,NA,NA,NA,4,NA,5,7,4,5,NA,8,5,7,NA,5,6,7,4,NA,4,3,7,7,NA,8,4,NA,5,NA,5,5,NA,NA,4,4,4,NA,NA,5,6,NA,8
"u67",NA,4,NA,NA,6,NA,7,5,5,NA,NA,NA,5,8,4,4,5,6,6,NA,5,NA,NA,4,5,5,6,5,NA,4,4,4,3,5,NA,5,6,NA,6,4,3,5,6,5,6,NA,4,NA,5,NA,8,5,NA,NA,4,5,7,NA,4,5,NA,NA,NA,5,NA,NA,NA,6,7,NA,NA,7,3,5,4,4,NA,NA,5,5,NA,6,6,NA,NA,NA,5,5,NA,NA,4,6,NA,6,NA,NA,NA,7,NA,7
"u68",NA,NA,6,6,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,6,NA,NA,7,3,6,4,NA,9,NA,5,5,5,4,5,5,4,5,5,5,5,NA,NA,NA,8,5,5,NA,NA,7,NA,NA,5,NA,5,NA,NA,NA,NA,NA,NA,5,NA,5,6,NA,5,5,NA,NA,NA,5,NA,5,NA,NA,5,4,NA,NA,6,NA,4,NA,NA,5,NA,NA,5,6,5,5,6,NA,5,NA,NA,5,4,NA,NA,8
"u69",7,NA,6,7,NA,NA,NA,NA,7,6,3,NA,NA,4,NA,NA,7,NA,7,NA,NA,NA,NA,6,NA,3,NA,NA,5,6,NA,6,6,5,NA,NA,4,6,5,NA,4,NA,NA,NA,5,NA,NA,NA,4,NA,8,5,NA,5,5,NA,NA,4,5,NA,6,4,NA,NA,NA,6,6,4,NA,NA,7,NA,NA,7,5,3,NA,NA,NA,NA,7,NA,4,NA,5,4,6,6,NA,NA,NA,NA,6,NA,4,NA,4,NA,NA,NA
"u70",6,6,7,5,6,6,7,6,6,7,NA,6,3,NA,5,4,4,NA,6,6,5,6,4,NA,NA,4,7,NA,NA,NA,NA,NA,5,4,NA,4,6,4,NA,5,NA,NA,NA,NA,5,9,5,6,8,5,7,4,5,5,5,6,NA,NA,4,NA,NA,NA,NA,NA,5,4,4,6,7,NA,6,6,NA,NA,NA,NA,5,6,NA,5,NA,NA,7,NA,6,6,5,NA,NA,NA,NA,NA,NA,5,5,NA,NA,6,NA,8
"u71",8,5,NA,6,6,5,NA,7,6,6,NA,4,4,6,NA,NA,5,NA,NA,NA,5,NA,NA,5,NA,4,NA,NA,NA,NA,5,NA,6,4,5,3,NA,NA,NA,5,6,4,NA,4,4,NA,NA,5,6,NA,NA,NA,NA,4,4,4,NA,NA,NA,5,6,5,6,NA,NA,NA,6,7,NA,5,6,NA,3,4,NA,NA,4,4,NA,NA,NA,NA,NA,5,NA,NA,5,6,NA,5,NA,4,6,6,4,NA,NA,7,NA,NA
"u72",NA,6,6,6,NA,5,6,6,NA,NA,NA,NA,5,NA,6,5,6,6,NA,7,5,6,NA,NA,6,7,7,NA,NA,6,4,NA,NA,3,5,4,4,NA,NA,6,4,6,NA,4,4,NA,6,7,NA,5,NA,5,5,6,4,5,6,NA,NA,NA,7,NA,NA,6,6,NA,5,6,8,NA,NA,6,NA,NA,NA,5,4,NA,NA,7,NA,6,6,4,6,NA,NA,6,NA,5,NA,NA,6,6,5,6,5,NA,6,NA
"u73",5,NA,8,5,NA,NA,6,5,NA,NA,NA,NA,NA,5,6,3,6,5,7,NA,7,5,NA,NA,NA,NA,NA,NA,6,NA,NA,6,5,5,NA,NA,6,NA,5,NA,NA,NA,8,5,5,7,6,6,7,NA,NA,5,NA,NA,NA,4,NA,6,5,NA,NA,NA,NA,NA,NA,NA,5,7,8,NA,NA,6,NA,NA,6,5,NA,5,NA,5,NA,NA,6,NA,NA,NA,5,3,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"u74",NA,3,6,NA,6,NA,6,NA,6,5,6,NA,6,6,5,NA,6,5,NA,6,NA,6,NA,NA,5,6,NA,NA,6,NA,5,NA,5,NA,4,5,NA,NA,5,NA,5,NA,8,NA,NA,NA,NA,6,7,NA,NA,4,NA,NA,3,NA,NA,NA,NA,5,NA,NA,5,NA,NA,NA,NA,7,6,NA,NA,5,3,5,NA,4,NA,NA,5,NA,NA,NA,5,NA,5,NA,7,5,5,7,NA,5,NA,NA,5,7,NA,7,NA,NA
"u75",7,NA,NA,6,NA,5,7,NA,NA,6,5,3,NA,4,NA,6,NA,NA,6,6,NA,7,NA,NA,4,NA,7,NA,6,5,4,NA,NA,4,NA,NA,5,NA,7,NA,5,NA,8,3,NA,7,5,6,NA,NA,7,NA,NA,NA,4,3,NA,4,5,5,NA,5,NA,NA,5,NA,NA,5,NA,NA,NA,NA,5,6,NA,5,5,NA,NA,5,6,NA,NA,3,5,4,NA,5,NA,4,NA,5,7,NA,4,5,3,8,NA,8
"u76",NA,NA,NA,NA,5,NA,NA,6,6,7,NA,5,NA,NA,NA,4,6,5,NA,NA,5,NA,3,NA,NA,NA,NA,NA,6,5,NA,NA,NA,NA,NA,NA,5,NA,NA,5,6,NA,6,NA,5,NA,NA,NA,6,NA,NA,6,NA,5,6,6,NA,4,3,6,5,3,6,5,5,NA,NA,6,NA,5,7,6,3,NA,NA,3,6,NA,NA,NA,5,NA,6,4,NA,5,NA,NA,5,NA,NA,NA,6,NA,4,6,NA,NA,5,NA
"u77",NA,4,7,5,5,6,NA,NA,NA,7,6,NA,5,NA,NA,NA,5,NA,6,5,5,7,NA,5,6,5,NA,5,NA,NA,5,NA,5,NA,4,NA,NA,4,NA,4,4,4,7,NA,4,7,5,NA,NA,5,7,NA,5,NA,NA,NA,NA,NA,NA,NA,6,NA,6,5,7,NA,4,NA,NA,4,7,NA,NA,NA,NA,NA,5,3,NA,NA,NA,6,7,4,NA,NA,NA,5,5,5,NA,5,5,5,5,NA,NA,8,5,8
"u78",NA,NA,6,6,6,NA,4,5,5,NA,5,4,5,6,NA,NA,4,NA,7,5,5,NA,NA,5,5,NA,7,4,6,6,4,NA,NA,NA,NA,5,6,NA,6,NA,NA,5,NA,5,NA,9,NA,7,7,NA,6,5,5,5,NA,NA,6,4,5,5,NA,NA,6,NA,6,4,NA,NA,6,4,NA,4,4,NA,NA,NA,6,NA,5,NA,5,NA,NA,NA,NA,NA,NA,NA,4,6,6,6,6,NA,5,5,5,NA,NA,6
"u79",NA,NA,NA,5,NA,NA,NA,6,5,NA,NA,3,5,6,6,5,NA,NA,NA,4,6,7,6,6,6,NA,6,6,NA,6,6,4,NA,NA,7,NA,5,5,6,5,4,6,NA,4,6,NA,5,7,NA,4,NA,NA,6,5,5,NA,6,5,4,6,6,NA,8,NA,NA,NA,NA,NA,7,4,7,7,5,NA,6,NA,NA,NA,NA,5,NA,NA,6,NA,NA,NA,5,NA,NA,5,NA,5,6,7,5,6,6,8,NA,8
"u80",5,5,NA,5,NA,6,6,NA,6,8,NA,NA,4,6,5,4,NA,NA,6,5,NA,NA,4,NA,5,5,NA,7,6,5,4,NA,6,NA,NA,5,NA,4,NA,NA,3,4,NA,4,NA,NA,6,7,NA,NA,NA,6,5,NA,NA,NA,NA,5,NA,NA,6,3,NA,NA,NA,NA,6,5,NA,NA,6,3,NA,NA,6,NA,5,6,NA,NA,6,5,NA,NA,5,NA,6,NA,NA,7,4,NA,6,NA,4,6,2,NA,5,9
"u81",5,NA,NA,NA,NA,NA,NA,NA,5,7,4,NA,6,NA,NA,5,NA,NA,NA,6,6,6,5,NA,4,NA,8,5,NA,6,NA,6,4,4,5,4,NA,NA,NA,5,5,NA,NA,NA,NA,7,7,NA,5,NA,NA,NA,NA,NA,NA,5,7,NA,4,NA,NA,NA,7,NA,NA,NA,5,6,NA,5,6,NA,NA,4,NA,NA,5,6,6,NA,5,6,NA,4,NA,4,6,NA,5,NA,4,NA,6,6,4,4,6,8,4,6
"u82",6,NA,NA,NA,5,NA,7,4,NA,NA,5,3,5,6,NA,NA,5,4,NA,6,NA,NA,4,5,NA,4,7,NA,NA,6,5,4,6,5,NA,NA,6,5,6,NA,NA,6,NA,NA,NA,NA,6,NA,7,5,5,4,NA,NA,NA,4,NA,NA,5,5,NA,6,NA,5,NA,NA,5,NA,NA,5,NA,5,NA,NA,6,NA,NA,6,4,6,5,5,6,5,NA,5,5,NA,5,5,NA,NA,NA,6,NA,NA,NA,NA,5,NA
"u83",NA,4,NA,NA,8,5,6,NA,6,7,3,3,NA,NA,5,5,NA,NA,7,NA,7,7,NA,NA,5,NA,NA,NA,NA,6,NA,5,NA,NA,4,NA,5,6,NA,NA,4,5,6,5,NA,8,4,NA,8,NA,NA,6,NA,6,NA,5,6,NA,NA,5,NA,NA,NA,NA,NA,4,4,7,NA,6,NA,5,NA,NA,6,4,6,7,NA,NA,NA,NA,7,5,NA,4,NA,NA,4,NA,NA,6,7,NA,NA,NA,5,NA,NA,NA
"u84",NA,5,7,NA,6,NA,6,6,8,NA,NA,5,5,NA,NA,5,5,6,NA,6,7,NA,NA,4,4,NA,NA,NA,NA,5,4,NA,5,5,5,4,6,5,NA,4,NA,5,NA,NA,NA,6,NA,NA,NA,4,5,5,5,5,4,5,NA,NA,5,6,NA,4,NA,NA,NA,4,5,NA,6,NA,NA,NA,4,4,5,3,NA,NA,NA,NA,NA,6,NA,4,NA,NA,4,NA,NA,5,5,5,NA,4,5,NA,NA,NA,NA,8
"u85",6,NA,5,NA,NA,NA,6,5,5,7,NA,NA,5,NA,NA,4,6,5,7,NA,6,7,4,NA,7,NA,NA,NA,NA,5,NA,NA,6,6,5,NA,6,5,5,4,NA,4,NA,NA,3,NA,NA,6,NA,6,6,4,5,4,4,NA,NA,NA,4,5,NA,NA,NA,NA,NA,4,NA,6,NA,4,NA,NA,NA,5,7,NA,NA,7,NA,NA,4,NA,6,4,5,6,6,5,NA,5,NA,NA,NA,7,4,NA,NA,NA,5,5
"u86",NA,NA,NA,5,7,NA,NA,5,7,6,NA,4,NA,NA,5,4,NA,5,6,NA,NA,NA,NA,7,6,5,8,5,7,6,3,NA,6,NA,5,NA,4,NA,NA,5,NA,NA,7,3,NA,NA,5,NA,NA,5,6,5,7,NA,NA,4,7,NA,NA,5,NA,4,6,4,6,NA,3,6,8,4,7,NA,NA,6,NA,4,NA,NA,6,6,NA,5,6,NA,NA,NA,NA,4,6,NA,5,5,6,NA,NA,NA,4,NA,6,8
"u87",7,NA,7,5,5,4,NA,NA,7,NA,3,5,NA,5,5,NA,NA,5,NA,7,NA,7,5,6,7,NA,8,5,6,NA,4,NA,NA,NA,6,4,6,NA,NA,NA,NA,5,7,NA,NA,NA,6,NA,NA,NA,NA,5,6,NA,NA,4,6,5,4,NA,NA,NA,5,5,6,NA,NA,NA,NA,4,6,NA,3,NA,7,4,NA,NA,NA,NA,NA,NA,6,NA,4,6,NA,NA,5,6,4,NA,NA,6,4,NA,5,NA,5,7
"u88",NA,6,NA,6,NA,6,6,5,5,NA,4,NA,4,NA,6,NA,4,5,NA,NA,NA,6,NA,7,NA,5,8,NA,NA,5,NA,5,NA,4,7,4,NA,NA,7,7,4,NA,8,5,NA,NA,4,7,6,NA,5,6,NA,6,5,4,5,3,6,NA,NA,NA,6,NA,NA,NA,NA,8,8,4,5,6,NA,6,5,NA,4,5,4,NA,NA,NA,NA,NA,NA,NA,5,NA,5,NA,5,6,7,6,NA,NA,NA,7,6,NA
"u89",6,5,NA,6,NA,NA,NA,NA,7,NA,6,NA,4,NA,NA,4,NA,NA,7,6,NA,7,5,4,NA,NA,NA,NA,NA,NA,4,NA,NA,6,NA,5,NA,5,NA,NA,4,NA,NA,NA,5,NA,NA,5,NA,NA,NA,NA,4,NA,4,5,6,4,5,5,NA,NA,4,NA,NA,NA,NA,5,8,NA,NA,7,4,6,5,NA,NA,5,3,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,4,4,5,7,5,NA
"u90",6,NA,NA,NA,5,6,7,NA,NA,NA,NA,NA,NA,NA,5,4,4,NA,5,5,NA,7,NA,5,6,NA,7,4,6,NA,NA,4,NA,5,NA,3,NA,NA,6,5,NA,NA,NA,5,NA,6,6,NA,NA,5,7,NA,NA,NA,5,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,4,6,7,4,NA,NA,4,NA,5,6,6,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,5,6,6,6,5,6,4,7,4,8
"u91",NA,NA,NA,NA,5,NA,NA,6,NA,6,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,6,5,5,NA,NA,7,NA,5,6,6,4,5,4,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,5,6,6,NA,NA,5,NA,NA,NA,6,3,5,5,NA,NA,5,NA,6,7,4,5,5,4,NA,NA,4,NA,NA,5,6,NA,3,NA,NA,NA,NA,6,4,7,NA,NA,5,NA,NA,4,8,4,6,7,6,NA,7,4,NA,NA,9
"u92",7,7,NA,6,NA,5,6,NA,NA,7,4,NA,NA,5,5,NA,8,NA,6,7,4,NA,4,NA,NA,6,7,4,NA,NA,7,NA,6,5,5,NA,4,NA,7,NA,NA,NA,8,4,3,7,NA,NA,6,NA,NA,NA,NA,NA,5,4,5,NA,NA,5,7,NA,6,5,NA,6,NA,NA,NA,5,5,NA,4,5,NA,3,NA,NA,NA,NA,NA,NA,NA,4,NA,5,5,6,5,NA,NA,NA,NA,5,3,NA,4,7,6,NA
"u93",6,NA,7,NA,NA,NA,5,NA,6,7,5,4,5,6,NA,NA,NA,5,5,NA,6,NA,3,NA,NA,6,NA,NA,NA,6,NA,4,NA,NA,5,6,5,3,6,NA,NA,3,NA,3,NA,NA,7,7,NA,NA,8,6,7,5,3,NA,NA,7,NA,6,NA,NA,NA,6,NA,NA,4,5,NA,NA,6,5,3,NA,NA,NA,5,6,7,NA,5,7,NA,NA,NA,NA,5,NA,6,NA,NA,5,6,NA,NA,5,4,7,NA,7
"u94",6,NA,6,5,5,NA,6,NA,NA,NA,2,5,NA,6,5,2,6,NA,NA,7,6,7,NA,NA,NA,NA,NA,NA,NA,NA,5,6,NA,6,NA,NA,NA,5,NA,4,NA,4,8,NA,NA,7,NA,5,7,NA,7,NA,6,NA,5,5,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,5,6,NA,5,NA,4,NA,NA,4,3,6,NA,NA,4,6,8,NA,5,NA,6,NA,NA,4,NA,NA,6,5,5,NA,5,NA,6,NA
"u95",NA,6,NA,NA,NA,NA,6,NA,6,NA,NA,NA,NA,5,NA,NA,5,5,NA,6,NA,4,4,NA,NA,5,NA,NA,NA,NA,NA,4,5,NA,5,4,NA,NA,NA,4,NA,NA,NA,NA,4,7,NA,NA,5,NA,7,5,4,NA,NA,3,7,NA,4,NA,NA,NA,7,NA,6,NA,NA,NA,7,5,6,5,NA,NA,NA,4,3,6,NA,7,NA,NA,7,6,5,NA,5,NA,NA,5,NA,5,7,7,NA,5,5,7,7,8
"u96",6,NA,NA,NA,5,NA,6,7,NA,NA,5,5,3,NA,NA,NA,5,6,6,NA,NA,NA,NA,NA,6,NA,8,NA,6,5,NA,NA,NA,5,6,NA,5,NA,6,4,4,8,8,NA,NA,6,5,7,NA,3,7,NA,NA,6,5,5,7,NA,5,5,6,NA,6,NA,7,NA,4,6,6,NA,NA,5,NA,5,NA,NA,NA,NA,5,6,NA,5,7,5,NA,NA,NA,6,NA,5,NA,NA,5,NA,5,5,NA,NA,6,8
"u97",NA,NA,6,NA,5,7,NA,5,7,8,5,NA,NA,NA,5,NA,NA,NA,NA,7,4,NA,NA,7,6,NA,8,6,4,6,4,4,6,NA,5,NA,5,NA,6,5,4,4,NA,5,5,NA,NA,7,6,5,NA,NA,5,NA,NA,NA,7,NA,NA,NA,NA,4,8,5,NA,4,NA,NA,7,5,5,6,NA,NA,6,4,NA,NA,6,6,4,NA,7,5,5,NA,5,5,NA,4,6,5,6,6,5,NA,5,7,5,6
"u98",NA,5,5,NA,6,5,5,4,NA,NA,4,NA,4,5,NA,2,5,NA,6,NA,5,NA,4,NA,NA,NA,7,NA,6,5,4,5,NA,5,5,4,NA,NA,NA,6,NA,4,NA,3,NA,NA,NA,7,NA,5,7,NA,5,NA,NA,3,NA,NA,5,NA,NA,5,8,4,NA,4,5,5,NA,NA,NA,5,NA,NA,6,NA,NA,NA,4,NA,NA,NA,NA,6,7,NA,NA,NA,4,NA,NA,4,7,NA,NA,7,6,NA,5,6
"u99",NA,NA,8,6,5,NA,7,7,NA,NA,5,3,NA,6,NA,6,5,NA,NA,NA,NA,NA,NA,NA,NA,4,6,NA,6,NA,NA,4,5,4,NA,4,NA,5,NA,5,3,4,NA,4,NA,7,NA,NA,6,NA,NA,NA,NA,NA,6,NA,NA,4,NA,6,NA,NA,NA,4,5,4,NA,4,NA,6,6,5,6,NA,NA,NA,NA,6,NA,5,NA,5,NA,3,NA,NA,NA,4,6,7,7,NA,NA,NA,NA,5,4,7,NA,8
"u100",NA,5,NA,NA,NA,5,NA,NA,7,6,NA,3,NA,5,NA,5,4,6,NA,NA,NA,NA,4,5,6,4,7,NA,6,6,5,4,7,NA,NA,NA,4,4,NA,4,NA,5,NA,NA,4,7,6,5,5,NA,NA,NA,NA,6,NA,5,7,5,NA,5,NA,NA,6,NA,6,5,NA,NA,8,NA,NA,NA,4,NA,NA,NA,4,5,NA,8,NA,NA,NA,NA,NA,NA,5,NA,NA,3,NA,6,5,NA,5,NA,5,6,NA,NA
"u101",NA,NA,NA,NA,NA,7,6,NA,6,NA,NA,2,NA,6,5,5,NA,5,NA,5,5,4,NA,6,5,NA,NA,NA,NA,5,NA,NA,4,5,NA,NA,5,NA,NA,NA,NA,5,NA,NA,NA,NA,6,NA,6,NA,NA,NA,6,NA,NA,NA,6,5,6,NA,6,NA,6,5,7,NA,NA,7,6,4,6,5,NA,NA,NA,4,NA,NA,NA,6,NA,NA,NA,4,NA,4,5,5,NA,5,NA,NA,6,NA,NA,NA,6,NA,6,NA
"u102",8,NA,6,5,4,NA,NA,NA,NA,NA,NA,6,4,NA,5,NA,NA,NA,5,5,4,7,NA,NA,NA,NA,8,NA,4,4,NA,6,5,4,NA,NA,NA,NA,NA,NA,NA,5,7,6,5,NA,NA,5,NA,NA,NA,4,5,5,4,6,NA,5,NA,5,NA,4,NA,NA,5,NA,5,6,8,NA,NA,NA,4,NA,7,NA,5,NA,NA,NA,4,6,6,4,5,NA,5,5,NA,4,5,6,NA,NA,5,NA,NA,8,NA,NA
"u103",6,NA,NA,6,NA,NA,NA,4,NA,NA,4,5,4,6,NA,5,5,5,NA,6,5,NA,NA,NA,NA,NA,6,NA,7,NA,5,4,3,4,NA,4,5,NA,6,4,NA,4,7,NA,4,5,5,5,5,NA,NA,NA,6,4,4,4,NA,NA,NA,6,6,NA,6,NA,4,4,NA,6,NA,4,7,NA,4,5,NA,NA,NA,NA,NA,7,5,5,NA,NA,NA,5,NA,6,NA,NA,NA,NA,7,6,NA,NA,5,7,5,NA
"u104",NA,NA,NA,NA,6,NA,6,5,NA,NA,6,4,4,NA,NA,NA,5,NA,7,NA,6,NA,6,NA,4,NA,NA,6,NA,NA,5,NA,5,5,7,NA,NA,6,6,5,NA,5,NA,5,NA,NA,6,6,NA,5,NA,NA,6,NA,NA,NA,NA,NA,NA,6,5,4,7,4,5,NA,NA,6,NA,5,NA,5,5,NA,7,5,4,4,NA,NA,4,NA,NA,5,7,4,5,NA,NA,5,NA,NA,7,NA,4,NA,NA,NA,NA,NA
"u105",6,NA,7,6,NA,NA,5,6,6,NA,5,NA,NA,NA,NA,4,NA,NA,7,NA,NA,NA,NA,5,NA,4,NA,5,NA,NA,5,NA,6,NA,6,7,5,NA,NA,NA,NA,6,7,NA,4,8,NA,6,6,5,7,NA,4,5,3,6,NA,NA,NA,NA,NA,NA,5,5,NA,NA,NA,NA,8,NA,NA,6,4,6,NA,3,5,NA,NA,NA,4,5,7,NA,NA,NA,NA,5,NA,NA,5,4,NA,NA,NA,NA,NA,NA,NA,7
"u106",NA,4,NA,6,NA,NA,5,NA,6,7,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,8,5,6,NA,6,NA,4,6,6,NA,4,NA,6,4,4,5,NA,NA,NA,NA,6,7,7,5,NA,NA,5,NA,NA,3,6,4,5,NA,NA,4,NA,4,5,NA,4,NA,5,NA,NA,NA,4,NA,NA,5,5,5,NA,4,5,NA,NA,3,NA,NA,3,5,6,5,5,5,7,NA,NA,NA,5,NA,4,8
